Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445081462440240586,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440240843,00000191,false,Rx,0,8,06,A0,06,A0,06,A0,00,00,
18445081462440241099,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440241313,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440243235,000003F1,false,Rx,0,8,00,FF,69,18,82,F5,00,00,
18445081462440245200,000004E1,false,Rx,0,8,42,52,32,31,36,33,36,36,
18445081462440247550,000004E9,false,Rx,0,5,01,00,3E,55,17,00,00,00,
18445081462440249728,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440250070,000001E1,false,Rx,0,5,00,FF,15,00,20,00,00,00,
18445081462440252633,00000514,false,Rx,0,8,47,4E,4C,43,32,45,30,34,
18445081462440253060,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440253316,00000191,false,Rx,0,8,06,4B,06,4B,05,32,00,00,
18445081462440253573,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440253829,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440254085,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440254299,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440254513,0000052A,false,Rx,0,8,00,00,FF,FF,FF,FF,00,FF,
18445081462440254982,00000771,false,Rx,0,7,00,40,00,00,00,00,00,00,
18445081462440260066,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440265534,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440265790,00000191,false,Rx,0,8,06,4B,06,4B,05,32,00,00,
18445081462440266046,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440266217,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440269592,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440269891,000001F3,false,Rx,0,2,40,40,00,00,00,00,00,00,
18445081462440278007,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440278264,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440278520,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440278776,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440279033,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440279246,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440279460,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440279631,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440279802,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440279972,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440282621,000001E1,false,Rx,0,5,00,FE,16,00,40,00,00,00,
18445081462440289499,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440289669,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440289883,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440290139,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462440290567,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440290823,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440291079,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440291293,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440296248,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462440296419,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440296675,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440296846,000004C9,false,Rx,0,4,60,3F,C1,00,00,00,00,00,
18445081462440297060,0000077F,false,Rx,0,7,00,00,00,00,00,00,00,00,
18445081462440300007,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440301972,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440302229,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440302485,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462440302613,000001F3,false,Rx,0,2,80,80,00,00,00,00,00,00,
18445081462440303168,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440303425,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440303638,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440303895,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440304151,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440304364,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440310131,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440312737,000001E1,false,Rx,0,5,00,FD,17,00,60,00,00,00,
18445081462440314489,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440314745,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440315001,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462440315599,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440315856,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440316112,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440316283,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440319700,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440321238,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462440321409,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440321665,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440322776,0000012A,false,Rx,0,8,57,00,00,00,B2,60,3F,FF,
18445081462440324784,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462440327005,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440327219,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440327475,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462440327731,000001F1,false,Rx,0,8,85,0E,00,00,08,00,00,72,
18445081462440328073,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440328372,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440328628,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440328842,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440329141,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440329312,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440329568,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440329739,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440329953,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440330123,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440330380,000003C1,false,Rx,0,8,07,65,24,80,00,00,00,00,
18445081462440330636,000003D1,false,Rx,0,8,01,40,80,00,00,00,00,00,
18445081462440330892,000003E9,false,Rx,0,8,00,00,20,00,00,00,00,00,
18445081462440332686,000001F3,false,Rx,0,2,C0,C0,00,00,00,00,00,00,
18445081462440335420,000003C9,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445081462440339521,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440339692,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440339949,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440340205,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462440340376,000001E1,false,Rx,0,5,00,00,14,00,00,00,00,00,
18445081462440340632,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440340888,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440341145,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440341358,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440346356,0000019D,false,Rx,0,8,80,00,3F,FE,00,00,00,FF,
18445081462440346484,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440346741,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440349774,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440351995,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440352251,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440352508,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462440353106,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440353362,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440353618,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440353875,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440354174,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440354345,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440360197,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440362632,000001F1,false,Rx,0,8,85,0F,8B,77,08,00,00,72,
18445081462440364554,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440364810,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440364939,000001F3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440365195,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462440365622,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440365878,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440366135,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440366306,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440369680,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440370107,000001E1,false,Rx,0,5,00,FF,15,00,20,00,00,00,
18445081462440371389,0000019D,false,Rx,0,8,C0,00,3F,FD,00,00,00,FF,
18445081462440371560,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440371773,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440377028,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440377284,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440377498,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462440378096,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440378395,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440378608,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440378907,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440379164,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440379377,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440379591,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440379762,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440379975,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440380103,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440389544,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440389672,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440389929,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440390185,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462440390313,000001F3,false,Rx,0,2,40,40,00,00,00,00,00,00,
18445081462440390569,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440390826,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440391082,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440391296,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440396379,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462440396507,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440396763,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440399882,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440402018,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440402274,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440402445,000001E1,false,Rx,0,5,00,FE,16,00,40,00,00,00,
18445081462440402701,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462440403171,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440403385,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440403641,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440403940,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440404196,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440404367,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440410049,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440414534,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440414790,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440415004,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462440415559,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440415816,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440416072,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440416286,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440419703,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440420173,0000012A,false,Rx,0,8,57,00,00,00,B2,60,3F,FF,
18445081462440421326,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462440421454,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440421711,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440422736,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462440424915,000001F1,false,Rx,0,8,85,0F,8B,77,08,00,00,72,
18445081462440427051,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440427307,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440427520,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462440427649,000001F3,false,Rx,0,2,80,80,00,00,00,00,00,00,
18445081462440428118,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440428375,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440428631,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440428887,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440429144,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440429357,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440429571,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440429742,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440429955,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440430126,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440430340,000003C1,false,Rx,0,8,07,65,C4,A0,B7,DF,F9,50,
18445081462440430639,000003D1,false,Rx,0,8,01,40,80,00,00,00,00,00,
18445081462440430895,000003E9,false,Rx,0,8,00,00,20,00,00,00,00,00,
18445081462440432604,000001E1,false,Rx,0,5,00,FD,17,00,60,00,00,00,
18445081462440435423,000003C9,false,Rx,0,8,07,66,00,00,00,00,00,00,
18445081462440439524,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440439695,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440439951,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440440208,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462440440592,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440440848,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440441105,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440441318,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440446359,0000019D,false,Rx,0,8,80,00,3F,FE,00,00,00,FF,
18445081462440446487,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440446744,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440449777,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440452041,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440452254,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440452510,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462440453109,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440453365,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440453621,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440453877,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440454176,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440454347,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440460242,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440462635,000001E1,false,Rx,0,5,00,00,14,00,00,00,00,00,
18445081462440464514,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440464771,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440464899,000001F3,false,Rx,0,2,C0,C0,00,00,00,00,00,00,
18445081462440465155,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462440465582,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440465838,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440466095,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440466308,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440469640,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440470153,000003F1,false,Rx,0,8,00,FF,69,18,82,F5,00,74,
18445081462440471349,0000019D,false,Rx,0,8,C0,00,3F,FD,00,00,00,FF,
18445081462440471520,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440471776,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440477031,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440477287,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440477500,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462440478099,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440478355,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440478611,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440478867,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440479124,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440479337,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440479594,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440479765,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440479935,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440480106,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440484421,000003F9,false,Rx,0,8,80,00,00,00,4F,00,0B,00,
18445081462440484549,000003FB,false,Rx,0,2,00,37,00,00,00,00,00,00,
18445081462440489547,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440489803,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440489931,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440490188,00000199,false,Rx,0,8,0F,FF,0B,82,F4,7E,00,FF,
18445081462440490572,000000C9,false,Rx,0,8,00,00,00,07,00,40,08,00,
18445081462440490829,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440491085,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440491256,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440492495,000001E1,false,Rx,0,5,00,FF,15,00,20,00,00,00,
18445081462440494588,000001F3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440496339,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,FF,
18445081462440496510,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440496724,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440499885,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440502063,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440502320,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440502533,00000199,false,Rx,0,8,4F,FF,0B,82,F4,7D,00,FF,
18445081462440503089,000000C9,false,Rx,0,8,00,00,00,0A,00,40,08,00,
18445081462440503388,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440503601,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440503858,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440504157,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440504327,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440510137,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440514537,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440514793,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440515050,00000199,false,Rx,0,8,8F,FF,0B,82,F4,7C,00,FF,
18445081462440515562,000000C9,false,Rx,0,8,00,00,00,0D,00,40,08,00,
18445081462440515819,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440516075,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440516288,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440519791,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440520218,0000012A,false,Rx,0,8,57,00,00,00,B2,60,3F,FF,
18445081462440521329,0000019D,false,Rx,0,8,40,00,3F,FF,00,00,00,FF,
18445081462440521500,000001AF,false,Rx,0,3,00,00,01,00,00,00,00,00,
18445081462440521714,000001F5,false,Rx,0,8,0F,0F,00,81,00,00,03,00,
18445081462440522782,00000134,false,Rx,0,4,00,00,10,00,00,00,00,00,
18445081462440524832,000001E1,false,Rx,0,5,00,FE,16,00,40,00,00,00,
18445081462440525217,000001F1,false,Rx,0,8,85,0F,8B,77,08,00,00,72,
18445081462440527053,000000C7,false,Rx,0,4,03,FE,00,00,00,00,00,00,
18445081462440527310,000000F9,false,Rx,0,8,00,00,60,00,00,00,00,FF,
18445081462440527523,00000199,false,Rx,0,8,CF,FF,0B,82,F4,7B,00,FF,
18445081462440527694,000001F3,false,Rx,0,2,40,40,00,00,00,00,00,00,
18445081462440528121,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440528378,00000191,false,Rx,0,8,06,4B,06,4B,05,AC,00,00,
18445081462440528634,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440528890,000001C3,false,Rx,0,8,06,4B,06,4B,00,00,00,00,
18445081462440529147,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440529360,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440529574,000002C3,false,Rx,0,6,06,4B,06,A0,06,A0,00,00,
18445081462440529745,000000F1,false,Rx,0,4,34,99,00,40,00,00,00,00,
18445081462440529958,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440530129,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440530343,000003C1,false,Rx,0,8,07,65,C4,A0,B7,DF,F9,50,
18445081462440530642,000003D1,false,Rx,0,8,01,40,80,00,00,00,00,00,
18445081462440530898,000003E9,false,Rx,0,8,00,00,20,00,00,00,00,00,
18445081462440532692,000003C9,false,Rx,0,8,07,66,00,00,00,00,00,00,
